City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Gat,IL,31.61,34.7642,75.88,100,0,8.52,clear sky
169,Isangel,VU,-19.55,169.2667,76.41,80,57,10.33,broken clouds
170,Pacific Grove,US,36.6177,-121.9166,62.71,86,0,4.61,clear sky
171,Bredasdorp,ZA,-34.5322,20.0403,56.44,66,59,5.08,broken clouds
172,Sept-Iles,CA,50.2001,-66.3821,50.52,99,100,5.99,fog
173,Waipawa,NZ,-41.4122,175.5153,47.97,92,100,10.36,overcast clouds
174,Malatya,TR,38.5,38.0,57.25,77,75,4.61,broken clouds
175,Tongchuan,CN,35.0806,109.0897,76.62,21,39,9.48,scattered clouds
176,Kawalu,ID,-7.3817,108.2082,76.73,88,100,4.34,overcast clouds
177,Honiara,SB,-9.4333,159.95,80.08,82,90,2.57,overcast clouds
178,Oktyabrskoye,RU,43.0645,44.7417,57.34,100,100,6.71,light intensity shower rain
179,Formby,GB,53.5536,-3.0682,55.81,87,100,12.77,overcast clouds
180,Iqaluit,CA,63.7506,-68.5145,35.33,69,100,13.8,overcast clouds
181,Ostrovnoy,RU,68.0531,39.5131,44.2,77,100,15.3,overcast clouds
182,Noshiro,JP,40.2039,140.0242,72.43,44,96,5.26,overcast clouds
183,Rozvadiv,UA,49.5,23.6167,45.3,96,100,10.6,overcast clouds
184,Baijiantan,CN,45.6333,85.1833,83.16,13,82,5.7,broken clouds
185,Matay,EG,28.419,30.7792,82.54,29,0,0.2,clear sky
186,Kuytun,RU,54.3419,101.5036,44.04,71,100,5.35,light rain
187,Hailar,CN,49.2,119.7,55.29,41,100,15.68,overcast clouds
188,Nawabshah,PK,26.2483,68.4096,95.09,36,6,6.87,clear sky
189,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,100,6.91,mist
190,Guerrero Negro,MX,27.9769,-114.0611,72.46,78,78,9.44,broken clouds
191,Ozu,JP,33.5,132.55,78.42,82,86,3.24,overcast clouds
192,Chokurdakh,RU,70.6333,147.9167,34.9,93,100,10.63,overcast clouds
193,Caravelas,BR,-17.7125,-39.2481,72.82,87,97,9.89,overcast clouds
194,Alofi,NU,-19.0595,-169.9187,76.89,83,38,10.36,scattered clouds
195,Rio Gallegos,AR,-51.6226,-69.2181,44.65,70,75,5.75,broken clouds
196,Warwick,US,41.7001,-71.4162,67.91,85,0,6.91,clear sky
197,Gushi,CN,34.6425,109.5843,83.41,19,78,8.61,broken clouds
198,Safakulevo,RU,54.9901,62.5442,68.41,30,91,1.16,overcast clouds
199,Tasiilaq,GL,65.6145,-37.6368,32.16,58,11,4.21,few clouds
200,Taoudenni,ML,22.6783,-3.9836,89.01,38,4,7.65,clear sky
201,Paratinga,BR,-12.6906,-43.1842,79.57,44,98,5.84,overcast clouds
202,Hwange,ZW,-18.3693,26.5019,76.91,43,2,3.87,clear sky
203,Vanavara,RU,60.34,102.2797,34.92,98,100,7.94,overcast clouds
204,Qasigiannguit,GL,68.8193,-51.1922,34.05,97,100,5.21,light snow
